X         Y         Rank      
----------------------------------
333.88    998.80    0         
696.38    993.80    0         
826.27    992.57    0         
946.14    976.49    0         
969.52    960.95    0         
973.91    945.72    0         
987.27    848.85    0         
992.69    801.82    0         
995.95    336.65    0         
996.32    217.14    0         
997.54    -76.09    0         
998.06    -285.69   0         
306.92    998.00    1         
664.39    993.70    1         
769.11    980.26    1         
891.02    973.17    1         
972.06    923.69    1         
990.64    687.51    1         
185.59    997.28    2         
442.98    992.75    2         
927.48    946.42    2         
954.88    928.64    2         
970.15    923.10    2         
525.50    990.20    3         
550.75    989.52    3         
808.81    965.89    3         
854.40    952.54    3         
975.78    608.63    3         
978.74    342.81    3         
545.54    984.68    4         
716.20    971.54    4         
963.26    880.36    4         
965.42    851.13    4         
991.72    -234.98   4         
992.71    -720.06   4         
983.62    196.77    5         
990.07    -123.27   5         
964.76    847.23    6         
971.80    477.79    6         
982.58    44.77     6         
992.59    -872.81   6         
571.28    966.55    7         
925.78    891.33    7         
293.08    988.90    8         
955.69    802.29    8         
989.75    -616.41   8         
593.28    953.27    9         
622.85    952.77    9         
698.34    945.79    9         
826.74    922.25    9         
903.08    857.71    9         
960.42    725.70    9         
989.06    -622.62   9         
-422.65   988.23    10        
205.51    981.08    10        
864.25    868.64    10        
939.14    840.83    10        
943.44    834.54    10        
956.51    720.87    10        
965.07    408.98    10        
972.37    19.57     10        
983.26    -448.89   10        
-174.28   983.13    11        
-70.49    982.24    11        
596.90    952.30    11        
817.78    908.33    11        
886.15    852.05    11        
951.83    788.61    11        
960.65    484.31    11        
981.80    -337.30   11        
969.62    116.70    12        
981.83    -572.57   12        
985.35    -741.29   12        
453.18    956.21    13        
791.88    902.97    13        
969.40    147.16    13        
629.74    927.18    14        
912.28    807.31    14        
965.76    128.42    14        
976.64    -543.02   14        
984.28    -950.63   14        
190.22    967.05    15        
814.92    860.67    15        
929.73    750.11    15        
948.84    656.13    15        
953.22    524.70    15        
261.50    965.87    16        
686.62    910.52    16        
964.33    186.73    16        
-672.53   976.31    17        
-145.22   971.23    17        
751.99    878.21    17        
974.49    -599.50   17        
978.47    -677.99   17        
-730.58   975.43    18        
688.84    901.00    18        
791.81    858.63    18        
942.56    647.60    18        
969.42    -234.90   18        
-258.75   969.17    19        
