X         Y         Rank      
----------------------------------
-4787.140 2343.520  0         
-4785.900 558.750   0         
-4756.300 -1340.780 0         
-4563.240 -4369.170 0         
-126.160  -4664.250 0         
1631.100  -4706.050 0         
-4650.200 0.930     1         
-4440.630 -2291.590 1         
-4425.890 -2988.730 1         
-4197.540 -3254.660 1         
-4040.720 -3284.980 1         
-3490.750 -3911.380 1         
-2000.320 -4098.970 1         
-771.700  -4247.130 1         
-626.960  -4252.830 1         
-30.630   -4560.220 1         
88.710    -4626.270 1         
-4513.090 -826.510  2         
-4269.290 -2685.480 2         
-2917.890 -3529.630 2         
-2780.780 -3767.260 2         
-2471.400 -3792.110 2         
-1301.510 -4092.650 2         
1745.710  -4654.360 2         
-4439.560 -1327.470 3         
-3960.180 -3170.980 3         
339.230   -4454.250 3         
-61.960   -4211.380 4         
212.690   -4254.000 4         
2780.070  -4576.010 4         
-4483.290 791.980   5         
-3910.000 -2738.900 5         
-2367.500 -3516.470 5         
619.880   -4302.280 5         
2733.510  -4502.330 5         
-4479.040 2042.250  6         
-4030.750 -1448.600 6         
-3354.300 -2966.760 6         
-429.130  -3822.700 6         
3302.570  -4534.910 6         
-2589.150 -2993.860 7         
-1673.720 -3359.570 7         
-740.560  -3536.260 7         
-132.220  -3800.680 7         
-4269.030 197.280   8         
-4170.250 -244.350  8         
-4166.330 -478.470  8         
-4127.220 -681.390  8         
-3917.770 -1367.880 8         
-2087.420 -3181.660 8         
4045.520  -4460.730 8         
-4276.300 981.580   9         
-175.420  -3609.320 9         
451.060   -4124.810 9         
-3715.700 -1345.870 10        
-3341.340 -1819.900 10        
-3301.160 -1945.380 10        
-1412.130 -3211.900 10        
-225.180  -3529.910 10        
-3308.350 -1502.520 11        
-2727.560 -2413.380 11        
-576.150  -3366.450 11        
382.640   -4086.820 11        
-3888.190 -934.080  12        
-3805.300 -1119.880 12        
-3731.650 -1280.000 12        
-3229.240 -1783.440 12        
-3219.310 -1810.750 12        
-2503.190 -2512.570 12        
-281.840  -3515.650 12        
7.890     -3779.780 12        
-3799.350 -992.510  13        
-41.030   -3600.820 13        
402.120   -3888.390 13        
-4268.130 2686.280  14        
-3023.800 -1698.590 14        
-2514.970 -2045.460 14        
-2313.630 -2643.380 14        
-2131.330 -2654.160 14        
-2077.890 -2710.740 14        
-1913.500 -2742.790 14        
-1024.460 -3013.440 14        
-981.160  -3071.940 14        
-833.260  -3162.500 14        
-2961.510 -1566.440 15        
-2475.310 -2264.090 15        
-2355.730 -2443.060 15        
-4144.500 2279.550  16        
-3838.550 -273.260  16        
-1898.510 -2714.580 16        
-639.360  -3163.730 16        
50.250    -3563.700 16        
-4047.600 2260.600  17        
-3839.880 -152.430  17        
-1130.830 -2873.390 17        
-4033.230 2112.680  18        
-3798.640 -478.430  18        
-3604.360 -707.740  18        
-3398.330 -843.290  18        
-1067.150 -2787.030 18        
-3606.570 -537.870  19        
-2918.170 -1353.150 19        
-2533.650 -1589.400 19        
-1020.560 -2802.150 19        
-966.800  -2921.920 19        
-954.140  -2959.730 19        
-107.190  -3319.680 19        
-3512.920 -651.380  20        
-2530.250 -1571.520 20        
-2300.560 -2201.280 20        
3204.970  -3883.990 20        
-3626.980 -331.510  21        
-2565.360 -1467.100 21        
-2220.920 -2173.540 21        
-1895.240 -2637.160 21        
-789.750  -2925.390 21        
-439.820  -3020.970 21        
-159.880  -3176.800 21        
627.670   -3765.430 21        
-3879.840 1406.590  22        
-3244.300 -925.390  22        
-1773.640 -2459.860 23        
102.420   -3484.210 23        
1718.900  -3753.510 23        
-3660.240 -118.420  24        
-1407.970 -2620.890 24        
-2926.870 -988.910  25        
-2868.660 -1179.970 25        
1227.080  -3562.110 25        
-3903.830 2587.700  26        
-3800.140 1700.340  26        
-2634.900 -1280.340 26        
-1962.760 -2088.630 26        
-1744.240 -2345.130 26        
-3655.130 261.400   27        
-3352.780 -352.260  27        
-3184.310 -793.910  27        
-2484.270 -1427.250 27        
-2011.050 -1853.360 27        
2347.070  -3579.320 27        
-3791.920 1563.440  28        
-1704.410 -2277.920 28        
-1114.480 -2469.620 28        
95.930    -3219.810 28        
250.010   -3289.110 28        
-3747.350 1582.150  29        
-3556.310 65.560    29        
-3399.100 -129.400  29        
-2987.650 -788.480  29        
-2080.590 -1737.580 29        
-1872.470 -2129.270 29        
-1246.970 -2417.180 29        
3345.130  -3667.570 29        
3676.270  -3707.990 29        
-3252.050 -400.420  30        
-3223.200 -491.080  30        
-3076.420 -681.100  30        
-2042.590 -1746.560 30        
-578.850  -2774.020 30        
757.840   -3498.070 30        
-3635.900 993.500   31        
-3343.970 -217.300  31        
-2814.500 -858.210  31        
252.330   -3229.490 31        
-3369.780 -6.270    32        
-1855.860 -1996.370 32        
-1688.580 -2142.950 32        
-1700.750 -2122.000 33        
1287.120  -3414.630 33        
-3497.770 667.810   34        
-3400.180 315.690   34        
-2509.590 -1157.890 34        
-186.770  -2787.490 34        
-2373.000 -1325.730 35        
894.480   -3310.000 35        
1000.850  -3310.150 35        
1664.050  -3389.700 35        
-3038.230 -445.050  36        
-1488.470 -2118.700 36        
-2426.630 -1215.280 37        
-2405.650 -1224.970 37        
196.140   -3063.620 37        
220.030   -3161.240 37        
2664.690  -3441.960 37        
-3373.290 641.000   38        
-1796.370 -1782.850 38        
-1653.680 -2033.510 38        
225.550   -3126.200 38        
2132.710  -3371.480 38        
-3165.420 -264.140  39        
-3317.860 219.900   40        
-2443.200 -1022.270 40        
-1863.300 -1656.390 40        
3.740     -2918.390 40        
-1284.730 -2058.130 41        
-1140.110 -2118.280 41        
2134.300  -3341.320 41        
-855.060  -2268.250 42        
-595.950  -2446.580 42        
-496.280  -2499.560 42        
4.360     -2825.680 42        
349.300   -3090.170 42        
1719.510  -3294.480 42        
-905.790  -2223.130 43        
-771.620  -2332.500 43        
323.430   -3023.160 43        
-1768.060 -1624.080 44        
1238.780  -3191.760 44        
-3122.110 -94.650   45        
-1145.350 -2005.560 45        
-327.590  -2478.230 45        
243.150   -2988.310 45        
-3351.090 1335.380  46        
-3207.110 151.180   46        
-1889.490 -1417.740 46        
-1793.830 -1559.130 46        
-3060.570 -16.260   47        
-1258.920 -1847.960 47        
-1181.820 -1895.550 47        
-2204.090 -1100.740 48        
-1910.230 -1327.490 48        
39.690    -2758.120 48        
866.350   -3090.990 48        
-3022.610 -46.530   49        
-2377.590 -840.220  49        
-1118.250 -1991.630 49        
-1066.560 -2013.580 49        
-657.960  -2245.650 49        
-501.740  -2339.730 49        
-492.010  -2383.080 49        
210.250   -2808.440 49        
-3419.300 2987.180  50        
-2977.610 -60.540   50        
-2870.850 -208.150  50        
-2464.850 -681.540  50        
-1843.460 -1395.290 50        
556.780   -3015.520 50        
-1600.760 -1600.480 51        
1502.250  -3161.960 51        
-2806.700 -214.920  52        
-2297.240 -915.420  52        
-1968.890 -1181.510 52        
-3003.330 9.670     53        
-1751.140 -1420.950 53        
-1097.750 -1892.570 53        
2050.930  -3172.740 53        
-3363.490 2665.360  54        
-2460.430 -612.410  54        
-2123.230 -929.760  54        
-2031.880 -1045.480 54        
-252.490  -2371.590 54        
-246.890  -2374.000 54        
-19.560   -2515.620 54        
444.430   -2966.080 54        
-2745.960 -169.410  55        
-1634.410 -1530.520 55        
-1611.330 -1541.670 55        
-547.150  -2242.150 55        
72.870    -2668.940 55        
169.540   -2737.010 55        
439.940   -2945.260 55        
-2875.270 -22.940   56        
-2340.440 -751.360  56        
368.890   -2895.260 56        
-3014.180 231.980   57        
-2291.770 -812.820  57        
-1931.040 -1107.740 57        
-441.840  -2249.090 57        
-136.840  -2397.570 57        
1357.240  -3044.340 57        
2845.490  -3184.520 57        
-3332.020 2541.390  58        
-3159.790 987.720   58        
-2858.110 -26.550   58        
-2567.570 -198.600  58        
-198.700  -2344.700 58        
-3045.990 733.230   59        
-2209.290 -807.300  59        
-1352.880 -1555.810 59        
22.350    -2503.270 59        
86.980    -2636.360 59        
170.650   -2670.300 59        
1803.560  -3124.950 59        
-2619.540 -126.820  60        
44.560    -2512.550 60        
-3141.020 1343.050  61        
-2984.420 314.410   61        
-2905.580 86.210    61        
-2355.080 -582.220  62        
-1417.870 -1429.340 62        
-857.100  -1882.400 62        
-693.130  -2013.400 62        
-333.460  -2231.370 62        
-2861.920 54.350    63        
-441.580  -2152.410 63        
961.380   -2953.810 63        
-3019.910 805.240   64        
-2643.850 -26.010   64        
-1990.540 -899.020  64        
-1062.500 -1732.510 64        
-102.620  -2371.250 64        
141.580   -2546.710 64        
579.710   -2857.890 64        
-2898.480 225.680   65        
-2316.940 -492.310  65        
-400.560  -2171.160 65        
-2565.760 -56.140   66        
-1817.930 -1116.390 66        
-1222.700 -1519.060 66        
-1063.790 -1638.720 66        
-873.890  -1790.940 66        
-682.970  -1973.490 66        
-667.640  -1973.560 66        
-653.850  -1984.330 67        
824.890   -2859.430 67        
-2986.740 878.210   68        
-766.040  -1866.500 68        
-335.810  -2130.290 68        
-1045.170 -1608.040 69        
-314.180  -2143.200 69        
2357.790  -3037.740 69        
294.210   -2648.210 70        
409.850   -2717.380 70        
989.230   -2861.390 70        
-3205.720 2805.060  71        
-2741.470 90.150    71        
-2020.380 -709.430  71        
-848.170  -1773.750 71        
-194.370  -2181.600 71        
-2870.430 387.080   72        
-2672.680 88.540    72        
-1616.310 -1243.330 72        
-1545.910 -1300.520 72        
-3174.410 2841.710  73        
-2425.730 -159.310  73        
-3017.430 1811.020  74        
-1193.390 -1399.410 74        
-1119.780 -1446.540 74        
761.370   -2770.090 74        
842.550   -2774.280 74        
-2755.200 242.270   75        
-1785.800 -959.520  75        
-1758.650 -1004.690 75        
-1202.350 -1379.850 75        
-3151.840 2948.370  76        
-1640.640 -1140.990 76        
-198.070  -2132.890 76        
-2195.680 -440.570  77        
-109.420  -2197.810 77        
-2914.770 1039.430  78        
-2800.690 483.380   78        
-2114.790 -476.620  78        
-440.400  -1974.960 79        
376.580   -2593.340 79        
-2762.470 491.110   80        
-1893.840 -774.970  80        
-1030.440 -1493.840 80        
183.970   -2397.220 80        
-1398.870 -1223.070 81        
2962.880  -2981.460 81        
-2531.770 121.880   82        
-1469.940 -1147.650 82        
233.800   -2441.810 82        
1091.510  -2768.350 82        
-2852.430 905.960   83        
-821.170  -1577.640 83        
-3025.610 3346.290  84        
-2811.700 893.830   84        
-2672.210 424.590   84        
-2052.570 -385.500  85        
-2446.880 17.860    86        
-1150.500 -1286.340 86        
-652.880  -1709.720 86        
-29.280   -2159.870 86        
524.850   -2569.700 86        
1986.610  -2821.750 86        
3708.910  -2981.110 86        
14.310    -2188.000 87        
384.110   -2483.050 87        
-2653.920 583.890   88        
-181.300  -2017.180 88        
1570.330  -2757.300 89        
-2757.080 939.820   90        
-1578.980 -964.340  90        
250.110   -2378.720 90        
523.320   -2504.150 90        
-2846.870 1538.180  91        
-2019.230 -296.130  91        
-1370.510 -1057.940 92        
-807.080  -1495.560 92        
-757.560  -1549.760 92        
-2866.330 2107.870  93        
-2293.310 -27.080   93        
-1403.550 -1020.200 93        
-106.000  -2044.710 94        
-2783.670 1503.830  95        
-1840.090 -581.480  95        
-1685.120 -794.730  95        
1038.060  -2642.080 95        
-1144.260 -1160.900 96        
545.310   -2471.170 96        
-2481.230 330.090   97        
1647.960  -2709.740 97        
1716.060  -2710.940 97        
-2476.040 375.910   98        
-1441.030 -920.950  98        
695.680   -2490.190 98        
-1621.280 -803.260  99        
-740.990  -1485.380 99        
-2854.870 2484.930  100       
-2772.820 1623.740  100       
-2061.250 -102.270  100       
-892.880  -1341.840 100       
7.860     -2088.360 100       
-2880.260 3284.270  101       
-2657.770 1056.780  101       
-1570.310 -813.640  101       
-2898.210 3915.720  102       
-1318.420 -940.810  102       
-290.380  -1758.290 102       
-0.170    -2033.500 102       
2568.570  -2753.710 102       
-400.020  -1676.930 103       
-2495.720 673.390   104       
-1864.140 -304.540  104       
-580.200  -1531.920 104       
-1722.460 -524.790  106       
-474.910  -1565.370 106       
-166.310  -1824.370 106       
-2777.280 2365.930  108       
-1642.560 -639.350  108       
-1614.240 -690.150  108       
-1150.890 -971.600  108       
-630.330  -1475.300 108       
150.440   -2125.680 108       
-2211.950 98.790    109       
1040.820  -2483.540 109       
-2771.610 2460.080  110       
-2718.840 2057.830  110       
-2553.320 1319.960  110       
-2546.350 1081.040  110       
-1683.970 -532.050  110       
-1356.220 -838.570  110       
-2665.700 1922.110  111       
-1758.910 -399.530  111       
716.000   -2384.080 111       
-777.390  -1326.850 112       
874.690   -2420.240 112       
-658.030  -1394.030 113       
-2382.250 631.630   114       
-1683.080 -484.130  114       
-864.480  -1193.410 114       
-806.820  -1283.960 114       
-2611.990 1750.440  115       
-1328.020 -809.360  115       
-238.950  -1613.120 115       
17.370    -1982.580 115       
-853.800  -1199.250 116       
-418.990  -1540.380 116       
-2395.210 710.220   117       
-1503.410 -659.560  117       
-1370.450 -782.130  118       
-2265.030 358.810   119       
-979.740  -1076.710 119       
-472.110  -1470.170 119       
480.280   -2235.630 119       
-1804.840 -158.890  120       
933.160   -2382.660 120       
2259.380  -2562.990 120       
3121.860  -2652.590 120       
-791.280  -1205.460 121       
735.910   -2312.570 121       
3860.180  -2695.060 121       
-1748.180 -220.340  122       
-388.840  -1515.590 122       
-93.120   -1750.210 122       
-136.970  -1635.530 123       
-1779.740 -154.200  124       
1647.570  -2444.750 124       
-2573.130 2281.670  125       
-113.920  -1651.510 125       
-8.490    -1782.500 125       
-2377.110 936.190   126       
-1665.450 -328.100  126       
-1438.880 -577.240  126       
-985.830  -965.230  126       
-322.380  -1506.970 126       
-128.170  -1629.860 126       
-2612.500 2516.090  127       
97.060    -1947.720 127       
-2536.880 2218.410  128       
-2154.870 429.660   128       
-1826.150 -35.370   128       
-828.470  -1114.360 128       
44.360    -1845.650 128       
287.930   -2047.670 128       
-1975.070 131.320   129       
-1028.350 -922.270  130       
24.540    -1799.660 130       
-2116.200 463.820   131       
-1086.550 -835.880  131       
-2294.450 834.380   132       
-1913.660 128.050   132       
-1384.390 -548.920  132       
-744.330  -1176.160 132       
-12.050   -1688.850 133       
397.660   -2115.800 133       
-1780.510 -30.680   134       
-106.220  -1606.400 134       
-1128.100 -791.990  135       
-11.220   -1673.970 135       
88.710    -1814.180 136       
1052.240  -2283.290 136       
-2109.020 618.480   137       
-7.320    -1666.950 137       
-1960.610 259.520   138       
-2053.710 543.550   139       
-1515.060 -324.940  139       
-1170.660 -663.630  139       
-1445.680 -331.660  140       
-2193.080 854.550   141       
-1870.630 147.060   141       
-2419.960 1940.600  142       
-1304.180 -500.510  142       
-2295.880 1241.900  143       
-1503.150 -278.120  143       
-750.480  -1049.710 143       
-319.730  -1392.870 143       
-2343.960 1548.480  144       
-1099.550 -705.420  145       
960.540   -2169.880 146       
