# Generated by QuartusPinNameGenerator, by Cuesta 2024.
To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
sw3,OUTPUT,PIN_D12,,,,,,,,,
sw2,OUTPUT,PIN_C11,,,,,,,,,
sw1,OUTPUT,PIN_C10,,,,,,,,,
seg1[0],OUTPUT,PIN_C14,,,,,,,,,
seg1[1],OUTPUT,PIN_E15,,,,,,,,,
seg1[2],OUTPUT,PIN_C15,,,,,,,,,
seg1[3],OUTPUT,PIN_C16,,,,,,,,,
seg1[4],OUTPUT,PIN_E16,,,,,,,,,
seg1[5],OUTPUT,PIN_D17,,,,,,,,,
seg1[6],OUTPUT,PIN_C17,,,,,,,,,
seg2[0],OUTPUT,PIN_C18,,,,,,,,,
seg2[1],OUTPUT,PIN_D18,,,,,,,,,
seg2[2],OUTPUT,PIN_E18,,,,,,,,,
seg2[3],OUTPUT,PIN_B16,,,,,,,,,
seg2[4],OUTPUT,PIN_A17,,,,,,,,,
seg2[5],OUTPUT,PIN_A18,,,,,,,,,
seg2[6],OUTPUT,PIN_B17,,,,,,,,,
seg3[0],OUTPUT,PIN_B20,,,,,,,,,
seg3[1],OUTPUT,PIN_A20,,,,,,,,,
seg3[2],OUTPUT,PIN_B19,,,,,,,,,
seg3[3],OUTPUT,PIN_A21,,,,,,,,,
seg3[4],OUTPUT,PIN_B21,,,,,,,,,
seg3[5],OUTPUT,PIN_C22,,,,,,,,,
seg3[6],OUTPUT,PIN_B22,,,,,,,,,
